,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 U.S. News & World Report — Best National Universities,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Rank,School,Public/Private,Overall Score,Peer Assessment Score,Graduation and retention rank,Average first year retention rate,Average first year retention rate footnote,Predicted graduation rate,Actual graduation rate,Actual graduation rate footnote,Over/Underperformance,Pell Gradrate,Pell Gradrate footnote,Social Mobility Rank,Faculty resources rank,Percent of classes under 20,Percent of classes of 50 or more students,Student/faculty ratio,Student/faculty ratio footnote,Selectivity rank,SAT/ACT 25th-75th percentile,SAT/ACT 25th-75th percentile footnote,First year students in top 10% of high school class,First year students in top 10% of high school class footnote,Acceptance rate,Financial resources rank,Average alumni giving rate,Average alumni giving rate footnote
1,Princeton University (NJ),private,100,4.9,2,98%,,95%,96%,,1,93%,,186,7,74%,10%,5 to 1,,11,1440-1570,,91%,4,5%,12,59%,
2,Harvard University (MA),private,96,4.9,2,97%,,97%,98%,,1,97%,,186,6,72%,10%,6 to 1,,2,1460-1580,,94%,,5%,8,31%,
3,Columbia University (NY),private,94,4.7,4,99%,,94%,96%,,2,93%,,138,3,82%,9%,6 to 1,,2,1450-1560,,96%,,6%,13,30%,
3,Massachusetts Institute of Technology,private,94,4.9,10,99%,,95%,94%,,-1,92%,,241,9,71%,12%,3 to 1,,2,1500-1570,,97%,,7%,2,33%,
3,Yale University (CT),private,94,4.8,1,99%,,97%,97%,,None,94%,,285,11,73%,9%,6 to 1,,2,1450-1560,,95%,,6%,1,27%,
6,Stanford University (CA),private,93,4.9,10,98%,,94%,94%,,None,93%,,241,13,69%,11%,5 to 1,,7,1420-1570,,96%,,4%,5,30%,
6,University of Chicago,private,93,4.6,10,99%,,98%,94%,,-4,89%,,335,1,79%,6%,5 to 1,,1,33-35,2,99%,,7%,7,40%,
6,University of Pennsylvania,private,93,4.6,4,98%,,98%,95%,,-3,92%,,241,5,71%,8%,6 to 1,,7,1440-1560,,96%,,8%,14,38%,
9,Northwestern University (IL),private,92,4.5,10,98%,,97%,95%,,-2,94%,,251,3,78%,5%,6 to 1,,11,33-35,,92%,,8%,9,31%,
10,Duke University (NC),private,91,4.5,8,98%,,98%,96%,,-2,95%,,254,1,71%,7%,6 to 1,,7,33-35,,95%,,9%,15,32%,
10,Johns Hopkins University (MD),private,91,4.7,18,97%,,97%,94%,,-3,94%,,241,18,74%,9%,7 to 1,,2,33-35,,96%,,11%,3,39%,
12,California Institute of Technology,private,89,4.7,19,98%,,98%,92%,,-6,96%,,345,9,68%,9%,3 to 1,,18,1530-1580,,96%,5,7%,3,27%,
12,Dartmouth College (NH),private,89,4.4,8,97%,,97%,95%,,-2,92%,,303,8,62%,7%,7 to 1,,11,1420-1560,,95%,,9%,16,43%,
14,Brown University (RI),private,86,4.5,4,98%,,96%,95%,,-1,91%,,224,16,70%,10%,6 to 1,,7,1420-1550,,96%,,8%,26,31%,
15,University of Notre Dame (IN),private,84,4.2,4,98%,,98%,97%,,-1,95%,,322,14,62%,10%,10 to 1,,11,33-35,,89%,,18%,27,42%,
15,Vanderbilt University (TN),private,84,4.3,19,97%,,98%,94%,,-4,90%,,291,16,66%,7%,7 to 1,,11,33-35,,89%,,10%,11,26%,
17,Cornell University (NY),private,83,4.6,10,97%,,97%,95%,,-2,92%,,224,26,57%,17%,9 to 1,,18,1390-1540,,83%,,11%,18,26%,
17,Rice University (TX),private,83,4.2,19,97%,,97%,95%,,-2,92%,,204,11,72%,8%,6 to 1,,11,33-35,,87%,,11%,23,30%,
19,Washington University in St. Louis,private,81,4.1,10,97%,,98%,95%,,-3,91%,,381,14,64%,12%,7 to 1,,28,32-35,,80%,5,15%,5,24%,
20,University of California--Los Angeles,public,80,4.3,27,97%,,87%,90%,,3,88%,,13,27,51%,22%,18 to 1,,23,1270-1520,,97%,,14%,20,7%,
21,Emory University (GA),private,79,4.1,30,94%,,91%,90%,,-1,88%,,200,20,60%,13%,9 to 1,,23,1350-1520,,84%,,19%,16,21%,
22,University of California--Berkeley,public,78,4.7,23,97%,,88%,91%,,3,89%,,70,44,53%,19%,20 to 1,,18,1300-1530,,98%,,15%,45,8%,
22,University of Southern California,private,78,3.9,23,96%,,92%,92%,,None,91%,,147,39,59%,13%,9 to 1,,30,1350-1530,,90%,5,13%,22,41%,
24,Georgetown University (DC),private,77,4.2,10,96%,,98%,94%,,-4,94%,,241,39,61%,6%,11 to 1,,18,1370-1530,,89%,,15%,33,31%,
25,Carnegie Mellon University (PA),private,75,4.3,30,97%,,94%,89%,,-5,82%,,303,22,66%,12%,13 to 1,,17,1450-1550,,87%,,17%,38,14%,
25,University of Michigan--Ann Arbor,public,75,4.5,23,97%,,90%,92%,,2,85%,,291,48,57%,18%,15 to 1,,40,1330-1510,,79%,5,23%,40,17%,
27,Wake Forest University (NC),private,74,3.6,33,94%,,96%,89%,,-7,85%,,360,21,57%,1%,10 to 1,,33,29-33,2,76%,,29%,10,24%,
28,University of Virginia,public,73,4.2,10,97%,,98%,94%,,-4,91%,,328,39,55%,15%,15 to 1,,23,1330-1500,,90%,,26%,47,20%,
29,Georgia Institute of Technology,public,72,4.3,40,97%,,89%,87%,,-2,81%,,224,42,45%,14%,21 to 1,,18,1390-1540,,89%,,23%,58,19%,
29,New York University,private,72,4.0,52,93%,,84%,85%,,1,84%,,115,24,61%,9%,9 to 1,,40,1310-1510,2,71%,,20%,28,11%,
29,Tufts University (MA),private,72,3.8,19,97%,,98%,93%,,-5,91%,,328,27,69%,7%,9 to 1,,23,31-34,,78%,,15%,31,22%,
29,U. of North Carolina--Chapel Hill,public,72,4.1,27,97%,,90%,90%,,None,86%,,165,85,38%,12%,13 to 1,,44,27-33,,78%,,22%,33,19%,
29,University of Rochester (NY),private,72,3.5,40,96%,,90%,86%,,-4,81%,,159,19,74%,9%,10 to 1,,33,1320-1500,2,75%,,29%,23,23%,
34,University of California--Santa Barbara,public,71,3.6,58,93%,,84%,87%,,3,84%,,9,22,50%,18%,17 to 1,,33,1230-1480,,100%,,32%,72,17%,
34,University of Florida,public,71,3.8,33,97%,,82%,90%,,8,87%,,34,77,50%,14%,18 to 1,,47,1280-1440,,77%,,39%,47,14%,
36,University of California--Irvine,public,70,3.8,46,93%,,78%,83%,,5,81%,,3,58,53%,23%,18 to 1,,51,1180-1440,,99%,,29%,61,7%,
37,Boston College,private,69,3.7,23,95%,,95%,92%,,-3,91%,,270,42,49%,6%,11 to 1,,28,1320-1490,,78%,,28%,65,24%,
37,University of California--San Diego,public,69,3.9,40,95%,,85%,86%,,1,84%,,21,147,43%,32%,19 to 1,,30,1250-1470,,100%,,30%,23,4%,
39,University of California--Davis,public,68,3.9,48,93%,,84%,86%,,2,84%,,9,136,36%,29%,20 to 1,,51,1150-1410,,100%,,41%,31,7%,
40,Boston University,private,67,3.7,40,93%,,85%,88%,,3,88%,,270,30,62%,12%,10 to 1,,40,1330-1500,2,65%,,22%,49,10%,
40,Brandeis University (MA),private,67,3.6,36,93%,,87%,88%,,1,84%,,138,48,57%,11%,10 to 1,,48,1280-1500,,56%,,31%,49,19%,
40,Case Western Reserve Univ. (OH),private,67,3.7,58,93%,,91%,85%,,-6,82%,,214,34,59%,13%,11 to 1,,30,30-34,,70%,,29%,40,19%,
40,College of William & Mary (VA),public,67,3.8,27,95%,,95%,91%,,-4,88%,,354,54,47%,6%,12 to 1,,33,1310-1490,,77%,,37%,110,30%,
40,Northeastern University (MA),private,67,3.5,36,97%,,86%,88%,,2,88%,,254,24,67%,6%,14 to 1,,27,32-34,,77%,,19%,72,11%,
40,Tulane University (LA),private,67,3.6,58,93%,,81%,85%,,4,77%,,365,27,62%,6%,8 to 1,,33,30-33,,63%,,17%,33,17%,
46,Univ. of Wisconsin--Madison,public,65,4.1,40,95%,,84%,87%,,3,84%,,297,147,45%,22%,17 to 1,,59,27-32,,54%,,52%,61,12%,
46,Villanova University (PA),private,65,3.4,30,96%,,85%,91%,,6,94%,,214,110,42%,2%,11 to 1,,40,1300-1470,,72%,,29%,110,29%,
48,University of Illinois--Urbana-Champaign,public,64,3.9,48,93%,,79%,84%,,5,81%,,186,110,38%,20%,20 to 1,,70,26-32,,48%,,62%,58,7%,
48,University of Texas--Austin,public,64,4.1,58,95%,,84%,83%,,-1,73%,,134,182,38%,26%,19 to 1,,33,1230-1480,,85%,,39%,76,10%,
50,Lehigh University (PA),private,63,3.3,36,95%,,87%,87%,,None,84%,,270,44,50%,12%,9 to 1,,51,1270-1450,,58%,,22%,55,17%,
50,Pepperdine University (CA),private,63,3.4,52,91%,,80%,83%,,3,84%,,96,36,70%,3%,14 to 1,,65,1220-1420,,57%,,36%,65,9%,
50,Rensselaer Polytechnic Inst. (NY),private,63,3.5,58,93%,,88%,86%,,-2,80%,,270,34,52%,10%,13 to 1,,44,1330-1500,,64%,,43%,69,10%,
50,University of Georgia,public,63,3.6,46,95%,,78%,86%,,8,80%,,159,69,45%,11%,17 to 1,,62,1240-1410,,60%,,49%,123,13%,
54,Ohio State University--Columbus,public,62,3.8,52,94%,,77%,84%,,7,76%,,254,271,27%,27%,19 to 1,,57,27-32,,63%,,52%,76,15%,
54,Santa Clara University (CA),private,62,3.1,33,95%,,80%,91%,,11,88%,,315,58,46%,1%,11 to 1,,65,1270-1440,,49%,5,50%,76,19%,
54,Syracuse University (NY),private,62,3.4,69,91%,,74%,83%,,9,80%,,90,48,57%,9%,15 to 1,,95,1180-1370,,39%,,50%,83,11%,
57,Florida State University,public,61,3.3,73,93%,,70%,83%,,13,79%,,80,58,57%,12%,21 to 1,,90,1200-1350,,39%,,37%,231,19%,
57,Pennsylvania State U.--Univ. Park,public,61,3.7,48,93%,,73%,85%,,12,77%,,348,256,31%,17%,14 to 1,,107,1160-1360,,43%,,56%,49,13%,
57,Purdue University--West Lafayette (IN),public,61,3.8,88,92%,,76%,81%,,5,74%,,270,95,38%,20%,13 to 1,,83,1180-1410,,46%,,58%,93,18%,
57,University of Miami (FL),private,61,3.5,64,92%,,88%,82%,,-6,78%,,270,69,50%,9%,12 to 1,,51,1250-1430,,55%,,32%,28,12%,
57,University of Pittsburgh,public,61,3.6,64,93%,,80%,83%,,3,76%,,335,120,45%,18%,14 to 1,,59,1270-1430,,55%,,59%,40,7%,
62,Rutgers University--New Brunswick (NJ),public,60,3.4,73,93%,,68%,80%,,12,78%,,59,210,42%,21%,16 to 1,,90,1190-1410,,38%,,60%,65,7%,
62,University of Washington,public,60,3.9,52,94%,,88%,84%,,-4,79%,,176,346,29%,25%,19 to 1,,65,1220-1460,,58%,,49%,28,12%,
64,Loyola Marymount University (CA),private,59,3.1,73,90%,,75%,84%,,9,80%,,241,54,53%,1%,10 to 1,,83,1210-1390,,44%,5,47%,93,20%,
64,Southern Methodist University (TX),private,59,3.3,82,91%,,80%,78%,,-2,67%,,360,36,59%,9%,11 to 1,,59,29-33,,49%,,51%,72,18%,
64,University of Connecticut,public,59,3.3,58,93%,,76%,85%,,9,78%,,265,85,52%,16%,16 to 1,,74,1210-1420,,50%,,49%,69,9%,
64,Univ. of Maryland--College Park,public,59,3.7,40,95%,,86%,86%,,None,80%,,322,182,45%,17%,18 to 1,,44,1290-1480,,75%,,47%,103,7%,
64,Univ. of Massachusetts--Amherst,public,59,3.4,88,91%,,70%,80%,,10,75%,,186,58,49%,18%,17 to 1,,95,1200-1390,,32%,,60%,117,9%,
64,Worcester Polytechnic Inst. (MA),private,59,3.0,36,96%,,88%,87%,,-1,88%,,270,30,64%,11%,13 to 1,,48,1300-1460,2,64%,,42%,83,10%,
70,Clemson University (SC),public,58,3.4,64,93%,,82%,83%,,1,71%,,348,95,55%,14%,16 to 1,,65,27-32,,56%,,47%,140,23%,
70,George Washington University (DC),private,58,3.5,64,92%,,86%,82%,,-4,78%,,322,85,53%,11%,13 to 1,,51,1280-1460,2,56%,,42%,61,8%,
70,Texas A&M University--College Station,public,58,3.7,73,91%,,78%,82%,,4,76%,,96,300,21%,27%,20 to 1,,79,1170-1380,,63%,,67%,103,17%,
70,University of Minnesota--Twin Cities,public,58,3.7,82,93%,,78%,80%,,2,72%,,251,256,38%,20%,17 to 1,,65,26-31,,50%,,52%,45,8%,
74,Fordham University (NY),private,57,3.1,78,91%,,80%,83%,,3,79%,,251,54,51%,1%,15 to 1,,70,1250-1430,,44%,,46%,110,17%,
74,Stevens Institute of Technology (NJ),private,57,2.9,52,95%,,84%,87%,,3,91%,,108,169,39%,10%,10 to 1,,33,1330-1480,2,72%,,41%,132,17%,
74,Virginia Tech,public,57,3.7,52,93%,,78%,84%,,6,77%,,322,227,27%,22%,14 to 1,,101,1180-1390,,38%,,65%,123,12%,
77,American University (DC),private,56,3.2,82,89%,,81%,80%,,-1,77%,,176,44,55%,1%,12 to 1,,90,1220-1380,2,31%,,32%,93,6%,
77,Brigham Young Univ.--Provo (UT),private,56,3.2,73,89%,,80%,83%,,3,78%,,291,54,45%,12%,20 to 1,,62,26-31,,54%,,64%,200,13%,
79,Baylor University (TX),private,55,3.2,103,89%,,76%,79%,,3,69%,,297,58,50%,9%,14 to 1,,79,26-31,,40%,,52%,103,14%,
79,Binghamton University--SUNY,public,55,3.0,69,92%,,77%,82%,,5,79%,,108,64,46%,14%,19 to 1,,62,1310-1440,,54%,,40%,219,6%,
79,Gonzaga University (WA),private,55,3.1,48,94%,,78%,86%,,8,78%,,254,182,37%,1%,11 to 1,,95,1183-1350,,41%,,66%,164,14%,
79,Indiana University--Bloomington,public,55,3.7,92,91%,,74%,78%,,4,66%,,303,160,37%,17%,16 to 1,,111,1150-1360,,35%,,77%,183,11%,
79,University at Buffalo--SUNY,public,55,3.1,107,87%,,66%,76%,,10,73%,,66,120,29%,23%,14 to 1,,125,1160-1330,,35%,,56%,117,11%,
84,Colorado School of Mines,public,54,3.5,82,93%,,83%,81%,,-2,77%,,303,256,29%,21%,15 to 1,,48,1290-1450,,59%,,49%,103,10%,
84,Elon University (NC),private,54,3.0,69,90%,,80%,83%,,3,79%,,370,64,52%,0%,12 to 1,,122,1150-1330,,25%,,72%,164,24%,
84,Marquette University (WI),private,54,3.1,78,89%,,77%,85%,,8,76%,,315,110,48%,8%,14 to 1,,101,24-30,,36%,,82%,123,14%,
84,Michigan State University,public,54,3.5,82,92%,,70%,80%,,10,71%,,241,256,24%,23%,16 to 1,,152,1110-1310,,29%,,78%,93,8%,
84,North Carolina State U.--Raleigh,public,54,3.2,78,94%,,79%,81%,,2,76%,,224,194,35%,16%,14 to 1,,70,1250-1390,,48%,,47%,103,10%,
84,University of California--Santa Cruz,public,54,3.1,95,90%,,81%,76%,,-5,74%,,2,246,36%,30%,19 to 1,,51,1170-1400,,96%,,48%,123,3%,
84,University of Iowa,public,54,3.5,122,86%,,69%,73%,,4,64%,,335,69,51%,14%,15 to 1,,125,23-28,,30%,,83%,83,8%,
91,Clark University (MA),private,53,2.8,92,87%,,75%,77%,,2,74%,,125,30,59%,3%,10 to 1,,163,1200-1390,2,39%,,59%,140,17%,
91,Miami University--Oxford (OH),public,53,3.2,82,91%,,73%,80%,,7,71%,,369,147,33%,11%,17 to 1,,83,26-31,,34%,,75%,254,18%,
91,Stony Brook--SUNY,public,53,3.3,117,90%,,67%,74%,,7,76%,,24,309,36%,25%,18 to 1,,74,1230-1420,,47%,,42%,76,6%,
91,University of California--Riverside,public,53,3.1,107,90%,,74%,75%,,1,75%,,1,280,21%,30%,21 to 1,,79,1110-1330,,94%,,51%,110,2%,
91,University of Delaware,public,53,3.2,69,91%,,78%,82%,,4,75%,,360,169,34%,16%,12 to 1,,113,1170-1350,2,34%,,62%,83,9%,
91,University of San Diego,private,53,3.0,88,89%,,78%,80%,,2,75%,,254,85,42%,0.10%,13 to 1,,95,1190-1360,,33%,,53%,110,12%,
97,Drexel University (PA),private,52,3.1,127,88%,,70%,74%,,4,69%,,270,69,53%,10%,11 to 1,,107,1170-1380,,33%,,77%,61,6%,
97,New Jersey Inst. of Technology,public,52,2.7,176,88%,,56%,65%,,9,60%,,42,44,37%,3%,16 to 1,,101,1190-1380,,36%,,64%,93,8%,
97,Saint Louis University,private,52,3.0,103,90%,,76%,78%,,2,66%,,297,95,47%,9%,9 to 1,,74,25-31,,48%,,58%,83,10%,
97,Texas Christian University,private,52,2.9,78,91%,,80%,83%,,3,76%,,370,85,44%,5%,13 to 1,,83,26-30,,50%,,41%,148,18%,
97,University of Denver,private,52,3.0,98,87%,,78%,77%,,-1,76%,,270,77,55%,6%,12 to 1,,83,26-31,,42%,,56%,81,9%,
97,University of San Francisco,private,52,3.0,122,84%,,66%,75%,,9,79%,,96,95,44%,2%,13 to 1,,125,1130-1330,2,38%,,65%,132,7%,
97,Yeshiva University (NY),private,52,2.8,64,90%,,84%,83%,,-1,78%,,285,95,60%,1%,7 to 1,,139,22-30,,N/A,,60%,93,16%,
104,Auburn University (AL),public,51,3.3,98,91%,,74%,78%,,4,64%,,380,182,35%,17%,19 to 1,,90,25-30,,32%,,75%,140,13%,
104,Creighton University (NE),private,51,3.0,95,89%,,78%,79%,,1,70%,,315,110,46%,5%,11 to 1,,101,24-30,,37%,,71%,103,13%,
104,Howard University (DC),private,51,3.2,182,89%,,61%,62%,,1,62%,,4,227,54%,6%,8 to 1,,152,1140-1285,,27%,,32%,49,11%,
104,Loyola University Chicago,private,51,3.2,112,84%,,70%,74%,,4,66%,,84,136,38%,6%,14 to 1,,113,25-30,,37%,,68%,140,6%,
104,Rochester Inst. of Technology (NY),private,51,3.4,137,89%,,71%,70%,,-1,67%,,108,147,49%,5%,13 to 1,,83,1200-1400,,37%,,66%,123,6%,
104,Temple University (PA),public,51,3.1,117,90%,,59%,73%,,14,67%,,105,182,39%,8%,14 to 1,,152,1130-1320,2,23%,,59%,148,6%,
104,University of California--Merced,public,51,2.7,176,83%,,43%,66%,,23,65%,,7,246,28%,27%,20 to 1,,351,1000-1190,3,N/A,,66%,93,13%,
104,University of Colorado--Boulder,public,51,3.7,137,87%,,71%,71%,,None,59%,,359,210,44%,17%,18 to 1,,107,1150-1360,,29%,,82%,81,6%,
104,University of Oregon,public,51,3.4,122,87%,,65%,73%,,8,68%,,214,136,39%,20%,16 to 1,,177,1080-1290,,22%,5,83%,148,8%,
104,Univ. of South Carolina,public,51,3.2,107,88%,,71%,77%,,6,69%,,322,169,37%,17%,17 to 1,,95,1190-1360,,29%,,63%,200,14%,
104,University of South Florida,public,51,2.8,127,90%,,61%,73%,,12,72%,,11,256,45%,12%,22 to 1,,111,1170-1330,,34%,,43%,211,12%,
104,University of Tennessee,public,51,3.3,137,86%,,76%,73%,,-3,64%,,138,169,30%,15%,17 to 1,,83,25-31,,36%,,78%,110,11%,
104,University of Utah,public,51,3.2,145,90%,,65%,70%,,5,62%,,186,227,37%,19%,17 to 1,,143,22-29,,N/A,,67%,44,11%,
117,Arizona State University--Tempe,public,50,3.4,154,87%,,62%,69%,,7,62%,,147,194,38%,18%,20 to 1,,134,1130-1360,2,33%,,85%,164,10%,
117,Clarkson University (NY),private,50,2.7,112,89%,,74%,76%,,2,74%,,59,110,52%,18%,13 to 1,,113,1160-1350,,35%,,71%,148,17%,
117,Illinois Institute of Technology,private,50,2.8,112,92%,,71%,72%,,1,66%,,61,85,46%,9%,12 to 1,,74,1220-1400,,49%,,58%,140,7%,
117,University of Arizona,public,50,3.6,195,81%,,65%,64%,,-1,60%,,70,136,45%,16%,15 to 1,,170,21-28,2,32%,,84%,83,9%,
121,Iowa State University,public,49,3.3,112,88%,,70%,75%,,5,67%,,270,227,29%,20%,19 to 1,,152,22-28,,27%,,91%,183,11%,
121,SUNY Col. of Envir. Sci. and Forestry,public,49,2.6,112,82%,,73%,77%,,4,73%,,176,110,44%,10%,13 to 1,,143,1120-1310,,25%,,61%,83,18%,
121,University of Tulsa (OK),private,49,2.7,122,89%,,87%,74%,,-13,58%,,376,36,60%,5%,11 to 1,,57,25-32,,65%,,41%,83,19%,
121,University of Vermont,public,49,3.0,107,86%,,79%,76%,,-3,72%,,234,194,49%,13%,18 to 1,,101,1180-1360,,37%,,68%,72,9%,
125,Chapman University (CA),private,48,2.6,88,90%,,83%,79%,,-4,80%,,186,120,48%,4%,13 to 1,,90,1190-1370,,37%,,54%,132,8%,
125,DePaul University (IL),private,48,3.0,127,85%,,62%,72%,,10,66%,,84,160,39%,1%,15 to 1,,173,1080-1290,2,N/A,,68%,231,6%,
125,Simmons University (MA),private,48,2.4,117,83%,,69%,80%,,11,75%,,70,227,69%,2%,11 to 1,,143,1130-1300,,29%,,70%,83,13%,
125,University of New Hampshire,public,48,2.9,95,86%,,66%,77%,,11,73%,,204,246,41%,12%,19 to 1,,190,1090-1280,,20%,,77%,164,7%,
